DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Jan Oblak,16.5,1620.0,18.0,0.0,0.0,11.0,91.0
Miguel Angel Moya,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Werner,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Savic,13.0,1370.0,15.0,0.0,0.0,10.0,64.0
Diego Godin,15.3,1350.0,15.0,0.0,0.0,9.0,63.0
Filipe Luis,13.2,981.0,11.0,1.0,1.0,6.0,55.0
Lucas Hernandez,3.5,822.0,9.0,0.0,1.0,7.0,47.0
Juanfran,2.1,688.0,8.0,0.0,0.0,5.0,31.0
Sime Vrsaljko,3.5,543.0,6.0,0.0,3.0,4.0,35.0
Jose Gimenez,2.0,519.0,5.0,1.0,0.0,1.0,26.0
Sergio Gonzalez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Montoro,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Saul Niguez,15.0,1492.0,17.0,2.0,2.0,10.0,65.0
Koke,15.0,1348.0,15.0,2.0,2.0,9.0,61.0
Gabi,13.2,1346.0,15.0,0.0,1.0,10.0,49.0
Thomas Partey,8.0,1171.0,14.0,2.0,0.0,9.0,56.0
Vitolo,3.5,690.0,8.0,1.0,0.0,1.0,24.0
Yannick Carrasco,13.2,666.0,6.0,3.0,3.0,4.0,48.0
Nicolas Gaitan,2.0,216.0,1.0,0.0,0.0,1.0,10.0
Augusto Fernandez,2.0,84.0,1.0,0.0,0.0,1.0,6.0
Keidi Bare,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Olabe,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Moya,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,20.5,1284.0,15.0,5.0,4.0,0.0,65.0
Angel Correa,9.5,1106.0,14.0,5.0,1.0,0.0,63.0
Kevin Gameiro,9.8,509.0,6.0,3.0,1.0,0.0,37.0
Fernando Torres,4.9,344.0,2.0,1.0,0.0,0.0,19.0
Diego Costa,2.0,90.0,1.0,1.0,0.0,0.0,4.0
Alberto Rodenas,2.0,0.0,0.0,0.0,0.0,0.0,0.0
