DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Marc-Andre ter Stegen,17.0,1620.0,18.0,0.0,0.0,12.0,99.0
Jasper Cillessen,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Adria Ortola,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Alba,13.0,1428.0,16.0,1.0,6.0,11.0,99.0
Gerard Pique,7.8,1170.0,13.0,1.0,0.0,8.0,61.0
Sergi Roberto,10.5,1130.0,12.0,1.0,6.0,10.0,90.0
Samuel Umtiti,5.5,1062.0,12.0,0.0,0.0,7.0,50.0
Nelson Semedo,3.0,621.0,7.0,0.0,0.0,3.0,32.0
Javier Mascherano,2.7,541.0,6.0,0.0,0.0,5.0,34.0
Thomas Vermaelen,3.5,468.0,5.0,0.0,0.0,4.0,25.0
Aleix Vidal,2.5,347.0,3.0,1.0,1.0,4.0,38.0
Lucas Digne,2.0,192.0,2.0,0.0,1.0,1.0,13.0
Marc Cucurella,2.0,0.0,0.0,0.0,0.0,0.0,0.0
David Costas,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Rakitic,15.0,1452.0,16.0,0.0,3.0,12.0,68.0
Sergio Busquets,11.5,1313.0,15.0,1.0,2.0,9.0,58.0
Andres Iniesta,6.5,1041.0,14.0,1.0,0.0,9.0,55.0
Paulinho,9.0,922.0,10.0,7.0,2.0,7.0,81.0
Denis Suarez,2.5,383.0,3.0,2.0,2.0,2.0,35.0
Andre Gomes,3.0,259.0,2.0,0.0,0.0,1.0,13.0
Ousmane Dembele,3.5,118.0,2.0,0.0,1.0,1.0,10.0
Oriol Busquets,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carles Alena,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafinha,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Arda Turan,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippe Coutinho,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Lionel Messi,30.0,1620.0,18.0,14.0,7.0,0.0,127.0
Luis Suarez,24.0,1342.0,15.0,11.0,1.0,0.0,85.0
Gerard Deulofeu,2.0,494.0,5.0,1.0,1.0,0.0,26.0
Paco Alcacer,2.0,336.0,4.0,2.0,2.0,0.0,29.0
Jose Arnaiz,2.0,5.0,0.0,0.0,0.0,0.0,1.0
