Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
30,12,18,7,0,14,1620,,FC Barcelona,34,Argentina,"180,00 Mill. ",26,95,89,86,61,93,90,Medium / Medium,127,30,37,1.09,77,2832,Lionel Messi,Right Wing,"120,00 Mill. ?","23,736"
29,3,15,2,9,1,1313,,FC Barcelona,33,Spain,"80,00 Mill. ",82,74,40,79,81,86,59,Medium / Medium,58,11.5,0,0,,2693,Sergio Busquets,Defensive Midfield,"60,00 Mill. ?","1,124"
20,13,2,1,1,0,118,,FC Barcelona,32,France,"80,00 Mill. ",32,88,91,75,56,83,76,High / Low,10,3.5,6,0.18,340,2040,Ousmane Dembélé,Left Wing,"33,00 Mill. ?","4,782"
29,6,16,3,12,0,1452,,FC Barcelona,32,Croatia,"45,00 Mill. ",60,82,65,86,66,87,84,Medium / Medium,68,15,7,0.22,335,2344,Ivan Rakitic,Central Midfield,"45,00 Mill. ?",9
28,6,16,6,11,1,1428,,FC Barcelona,26,Spain,"40,00 Mill. ",81,82,93,75,72,85,69,High / Medium,99,13,1,0.04,1.966,1966,Jordi Alba,Left-Back,"32,00 Mill. ?",792
30,15,15,1,0,11,1342,,FC Barcelona,35,Uruguay,"85,00 Mill. ",42,86,82,79,81,92,90,High / Medium,85,24,29,0.83,99,2862,Luis Suárez,Centre-Forward,"90,00 Mill. ?","4,844"
24,0,12,0,7,0,1062,,FC Barcelona,25,France,"40,00 Mill. ",82,71,74,71,79,83,64,Medium / High,50,5.5,1,0.04,2.132,2132,Samuel Umtiti,Centre-Back,"30,00 Mill. ?","1,199"
29,4,10,2,7,7,922,,FC Barcelona,20,Brazil,"40,00 Mill. ",77,77,76,74,76,81,74,High / High,81,9,7,0.35,257,1800,Paulinho,Central Midfield,"20,00 Mill. ?",48
30,0,13,0,8,1,1170,,FC Barcelona,25,Spain,"40,00 Mill. ",86,66,65,69,76,87,61,High / Medium,61,7.8,2,0.08,1.096,2192,Gerard Piqué,Centre-Back,"40,00 Mill. ?","5,308"
25,6,12,6,10,1,1130,,FC Barcelona,32,Spain,"40,00 Mill. ",79,75,77,80,72,81,64,Medium / Medium,90,10.5,0,0,,2381,Sergi Roberto,Central Midfield,"25,00 Mill. ?",962
25,0,18,0,12,0,1620,13,FC Barcelona,36,Germany,"40,00 Mill. ",38,86,84,87,81,85,83,No,99,17,0,0,,3240,Marc-André ter Stegen,Keeper,"25,00 Mill. ?","1,372"
24,8,7,0,3,0,621,,FC Barcelona,31,Portugal,"30,00 Mill. ",76,80,92,68,71,81,57,High / Medium,32,3,1,0.03,2782,2781,Nélson Semedo,Right-Back,"20,00 Mill. ?","1,630"
24,3,4,2,0,2,336,,FC Barcelona,20,Spain,"18,00 Mill. ",34,80,77,70,67,82,83,High / Medium,29,2,6,0.3,141,847,Paco Alcácer,Centre-Forward,"18,00 Mill. ?",969
24,0,2,1,1,0,192,,FC Barcelona,17,France,"16,00 Mill. ",75,75,80,75,75,79,61,High / Medium,13,2,0,0,,1175,Lucas Digne,Left-Back,"16,00 Mill. ?",637
24,2,2,0,1,0,259,,FC Barcelona,30,Portugal,"22,00 Mill. ",71,78,68,78,81,82,71,Medium / Medium,13,3,3,0.1,531,1592,André Gomes,Central Midfield,"25,00 Mill. ?","1,285"
33,3,14,0,9,1,1041,,FC Barcelona,23,Spain,"20,00 Mill. ",58,90,71,87,58,87,70,High / Medium,55,6.5,0,0,,1329,Andrés Iniesta,Central Midfield,"20,00 Mill. ?","2,810"
23,4,3,2,2,2,383,,FC Barcelona,26,Spain,"18,00 Mill. ",51,83,79,81,58,80,74,Medium / Medium,35,2.5,1,0.04,1.182,1182,Denis Suárez,Central Midfield,"18,00 Mill. ?","1,094"
24,2,0,0,0,0,0,,FC Barcelona,18,Brazil,"15,00 Mill. ",62,84,74,79,64,81,76,Medium / Medium,0,2,6,0.33,179,1074,Rafinha,Central Midfield,"15,00 Mill. ?",30
23,3,5,1,0,1,494,,FC Barcelona,17,Spain,"14,00 Mill. ",26,87,93,75,61,82,70,High / Low,26,2,4,0.23,366,1463,Gerard Deulofeu,Right Wing,"12,00 Mill. ?","2,348"
28,0,0,0,0,0,0,0,FC Barcelona,1,Netherlands,"9,00 Mill. ",54,77,79,74,81,81,83,No,0,2,0,0,,90,Jasper Cillessen,Keeper,"9,00 Mill. ?",669
30,3,0,0,0,0,0,,FC Barcelona,18,Turkey,"12,00 Mill. ",61,84,71,81,72,82,73,High / High,0,2,3,0.17,415,1244,Arda Turan,Left Wing,"15,00 Mill. ?","1,298"
28,2,3,1,4,1,347,,FC Barcelona,6,Spain,"7,50 Mill. ",69,80,91,72,70,76,67,High / Medium,38,2.5,2,0.33,238,475,Aleix Vidal,Right-Back,"7,50 Mill. ?",740
33,3,6,0,5,0,541,,FC Barcelona,25,Argentina,"6,00 Mill. ",82,70,65,71,77,83,53,Medium / High,34,2.7,1,0.04,1.916,1916,Javier Mascherano,Centre-Back,"8,00 Mill. ?","1,397"
32,0,5,0,4,0,468,,FC Barcelona,9,Belgium,"5,00 Mill. ",76,60,68,67,74,78,61,High / Medium,25,3.5,0,0,,388,Thomas Vermaelen,Centre-Back,"3,00 Mill. ?","1,181"
26,8,15,4,0,5,1284,,Atlético Madrid,36,France,"100,00 Mill. ",30,87,86,78,68,88,85,High / Medium,65,20.5,16,0.44,192,3067,Antoine Griezmann,Centre-Forward,"80,00 Mill. ?","4,189"
25,8,15,2,9,2,1348,,Atlético Madrid,36,Spain,"70,00 Mill. ",63,81,70,86,75,84,75,High / High,61,15,4,0.11,793,3172,Koke,Central Midfield,"60,00 Mill. ?",13
24,0,18,0,11,0,1620,15,Atlético Madrid,30,Slovenia,"50,00 Mill. ",43,84,84,77,87,88,90,No,91,16.5,0,0,,2651,Jan Oblak,Keeper,"40,00 Mill. ?",850
