DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Ruben Martinez,2.0,810.0,9.0,0.0,0.0,1.0,15.0
Costel Pantilimon,2.0,540.0,6.0,0.0,0.0,1.0,17.0
Francis Uzoho,2.0,180.0,2.0,0.0,0.0,1.0,8.0
Przemyslaw Tyton,2.0,90.0,1.0,0.0,0.0,0.0,0.0
Juanfran,10.5,1524.0,17.0,0.0,1.0,3.0,42.0
Fabian Schar,4.5,1320.0,15.0,2.0,1.0,2.0,44.0
Sidnei,4.5,1215.0,14.0,1.0,1.0,2.0,38.0
Luisinho,3.5,1182.0,13.0,1.0,1.0,2.0,33.0
Fernando Navarro,2.0,475.0,5.0,0.0,0.0,1.0,12.0
Raul Albentosa,2.5,405.0,4.0,0.0,0.0,1.0,9.0
Gerard Valentin,2.0,96.0,1.0,0.0,0.0,0.0,2.0
Blas Alonso,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Quique Fornos,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Aldo One,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Guilherme,6.5,1446.0,17.0,0.0,0.0,3.0,34.0
Celso Borges,9.5,1365.0,16.0,3.0,1.0,3.0,55.0
Fede Cartabia,5.0,1131.0,14.0,2.0,1.0,2.0,41.0
Federico Valverde,5.0,946.0,10.0,0.0,0.0,2.0,30.0
Emre Colak,5.5,634.0,8.0,0.0,1.0,2.0,25.0
Zakaria Bakkali,2.0,502.0,6.0,0.0,0.0,0.0,16.0
Pedro Mosquera,2.0,466.0,5.0,0.0,1.0,0.0,15.0
Carles Gil,2.5,330.0,4.0,0.0,0.0,1.0,12.0
Bruno Gama,2.0,111.0,1.0,0.0,0.0,0.0,5.0
Borja Valle,2.0,70.0,0.0,0.0,0.0,0.0,7.0
Edu Exposito,2.0,53.0,0.0,0.0,0.0,0.0,2.0
Lucas Perez,7.0,1110.0,12.0,2.0,1.0,0.0,47.0
Adrian Lopez,3.5,780.0,8.0,3.0,2.0,0.0,38.0
Florin Andone,9.5,769.0,7.0,4.0,2.0,0.0,38.0
Pinchi,2.5,0.0,0.0,0.0,0.0,0.0,0.0
