DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Leandro Chichizola,2.0,900.0,10.0,0.0,0.0,1.0,18.0
Raul Lizoain,2.0,630.0,7.0,0.0,0.0,1.0,15.0
Mauricio Lemos,3.5,1217.0,13.0,0.0,0.0,2.0,25.0
Dani Castellano,4.0,1170.0,13.0,0.0,2.0,2.0,34.0
Ximo Navarro,2.5,1121.0,12.0,0.0,1.0,1.0,24.0
Michel Macedo,3.0,1064.0,13.0,0.0,0.0,2.0,28.0
Pedro Bigas,2.5,805.0,10.0,0.0,0.0,1.0,16.0
David Simon,2.0,438.0,4.0,0.0,0.0,0.0,7.0
Alejandro Galvez,2.0,360.0,4.0,1.0,0.0,1.0,14.0
Borja Herrera,2.0,242.0,3.0,0.0,0.0,0.0,4.0
Aythami Artiles,2.0,183.0,2.0,0.0,0.0,0.0,6.0
David Garcia,2.0,180.0,2.0,0.0,0.0,0.0,2.0
Jonathan Viera,11.3,1364.0,16.0,2.0,3.0,2.0,54.0
Alberto Aquilani,3.0,809.0,9.0,0.0,0.0,1.0,22.0
Javi Castellano,3.0,796.0,9.0,0.0,0.0,2.0,26.0
Vicente Gomez,2.5,580.0,6.0,0.0,0.0,1.0,18.0
Hernan Santana,2.0,351.0,4.0,0.0,0.0,0.0,10.0
Momo,2.0,232.0,3.0,0.0,1.0,0.0,11.0
Alen Halilovic,2.0,191.0,3.0,0.0,1.0,0.0,7.0
Sergi Samper,2.0,145.0,2.0,0.0,0.0,0.0,4.0
Fabio Gonzalez,2.0,65.0,1.0,0.0,0.0,0.0,1.0
Benito Ramirez,2.0,14.0,0.0,0.0,0.0,0.0,1.0
Gabriel Penalba,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Jairo Samperio,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Calleri,6.5,1439.0,16.0,3.0,0.0,0.0,47.0
Tana,4.5,842.0,9.0,1.0,1.0,0.0,27.0
Loic Remy,3.5,671.0,5.0,4.0,0.0,0.0,32.0
Oussama Tannane,2.0,553.0,7.0,0.0,0.0,0.0,17.0
Hernan Toledo,2.0,170.0,1.0,0.0,0.0,0.0,6.0
