DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Antonio Adan,6.0,1620.0,18.0,0.0,0.0,4.0,47.0
Dani Gimenez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aissa Mandi,5.0,1440.0,16.0,0.0,0.0,4.0,39.0
Antonio Barragan,7.0,1405.0,17.0,0.0,3.0,4.0,54.0
Riza Durmisi,6.0,1253.0,14.0,1.0,2.0,3.0,48.0
Zouhair Feddal,2.5,1022.0,11.0,3.0,0.0,2.0,40.0
Jordi Amat,2.0,873.0,10.0,0.0,0.0,3.0,17.0
Alin Tosca,2.0,423.0,5.0,0.0,0.0,1.0,11.0
Rafa Navarro,2.0,112.0,1.0,0.0,0.0,0.0,3.0
Redru,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Joaquin,8.9,1408.0,17.0,3.0,4.0,3.0,67.0
Andres Guardado,6.5,1240.0,13.0,1.0,6.0,3.0,56.0
Javi Garcia,5.0,1162.0,13.0,0.0,0.0,3.0,34.0
Fabian Ruiz,5.5,877.0,10.0,2.0,3.0,3.0,50.0
Victor Camarasa,6.8,866.0,11.0,1.0,0.0,2.0,32.0
Ryad Boudebouz,2.5,402.0,3.0,1.0,1.0,0.0,22.0
Nahuel Leiva,2.0,250.0,3.0,0.0,0.0,0.0,8.0
Julio Gracia,2.0,21.0,0.0,0.0,0.0,0.0,2.0
Felipe Gutierrez,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Leon,10.5,1237.0,14.0,6.0,1.0,0.0,56.0
Cristian Tello,6.0,930.0,9.0,3.0,3.0,0.0,46.0
Antonio Sanabria,5.0,638.0,6.0,7.0,0.0,0.0,49.0
Juanjo Narvaez,2.0,304.0,4.0,0.0,0.0,0.0,12.0
Francis,2.0,241.0,2.0,0.0,0.0,0.0,9.0
Joel Campbell,2.0,89.0,1.0,1.0,1.0,0.0,12.0
Aitor Ruibal,3.5,7.0,0.0,0.0,0.0,0.0,2.0
Ruben Castro,4.5,0.0,0.0,0.0,0.0,0.0,0.0
