DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Kepa Arrizabalaga,3.5,1260.0,14.0,0.0,0.0,4.0,40.0
Iago Herrerin,3.5,360.0,4.0,0.0,0.0,4.0,27.0
Unai Simon,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unai Nunez,6.5,1530.0,17.0,0.0,0.0,7.0,52.0
Aymeric Laporte,10.5,1530.0,17.0,0.0,0.0,7.0,51.0
Mikel Balenziaga,8.1,1058.0,12.0,0.0,2.0,5.0,44.0
Inigo Lekue,5.5,1025.0,10.0,0.0,0.0,5.0,41.0
Eneko Boveda,2.0,523.0,6.0,0.0,1.0,1.0,17.0
Enric Saborit,2.5,472.0,5.0,0.0,0.0,3.0,23.0
Oscar De Marcos,3.5,471.0,7.0,0.0,0.0,4.0,28.0
Xabier Etxeita,2.5,180.0,2.0,1.0,0.0,2.0,15.0
Yeray Alvarez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Raul Garcia,16.8,1317.0,15.0,3.0,1.0,8.0,65.0
Markel Susaeta,6.5,1092.0,12.0,1.0,2.0,6.0,48.0
Mikel San Jose,9.4,1027.0,12.0,0.0,0.0,6.0,32.0
Ander Iturraspe,3.0,843.0,9.0,0.0,0.0,2.0,23.0
Mikel Vesga,2.0,630.0,8.0,1.0,1.0,2.0,23.0
Inigo Cordoba,3.5,621.0,8.0,0.0,0.0,2.0,24.0
Mikel Rico,3.0,575.0,6.0,0.0,0.0,4.0,18.0
Benat Etxebarria,2.6,248.0,2.0,0.0,0.0,2.0,12.0
Sabin Merino,2.0,72.0,1.0,0.0,0.0,0.0,6.0
Ager Aketxe,2.0,34.0,0.0,0.0,0.0,0.0,2.0
Oscar Gil,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Inigo Munoz,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Inaki Williams,16.0,1283.0,14.0,3.0,3.0,0.0,57.0
Aritz Aduriz,13.3,1264.0,13.0,4.0,1.0,0.0,57.0
Iker Muniain,4.0,405.0,4.0,1.0,2.0,0.0,21.0
Kike Sola,2.0,0.0,0.0,0.0,0.0,0.0,0.0
