DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Ruben Blanco,3.5,1080,12,0,0,2,30
Sergio Alvarez,2,575,6,0,0,1,16
Ivan Villar,2,0,0,0,0,0,0
Jonny,6.5,1530,17,0,0,3,41
Hugo Mallo,6,1401,16,0,2,3,43
Gustavo Cabral,6,1235,13,1,1,3,47
Sergi Gomez,5,1000,12,2,0,1,42
Andreu Fontas,3,814,9,1,1,2,34
Facundo Roncaglia,2,224,2,0,0,0,5
Diego Alende,2,0,0,0,0,0,0
Diego Pampin,2,0,0,0,0,0,0
Robert Mazan,4.5,0,0,0,0,0,0
Daniel Wass,10.1,1494,17,4,5,3,78
Pione Sisto,9.5,1477,18,1,11,3,82
Stanislav Lobotka,7,1280,14,0,0,3,41
Pablo Hernandez,6,1059,11,2,0,1,41
Jozabed Sanchez,5,808,10,0,2,2,30
Nemanja Radoja,2.5,325,3,0,0,0,11
Brais Mendez,2,180,3,0,0,0,8
Andrew Hjulsager,2,12,0,0,0,0,2
Iago Aspas,16,1529,17,10,2,0,80
Maximiliano Gomez,8,1448,17,8,2,0,70
Emre Mor,2.5,242,1,1,0,0,16
John Guidetti,8,107,8,0,0,0,8
