DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Marko Dmitrovic,4.0,1530.0,17.0,0.0,0.0,5.0,50.0
Yoel Rodriguez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Asier Riesgo,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Markel Areitio,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Capa,7.5,1446.0,17.0,0.0,1.0,5.0,52.0
Paulo Oliveira,5.0,1350.0,15.0,0.0,0.0,5.0,45.0
Anaitz Arbilla,4.0,1108.0,12.0,1.0,0.0,3.0,37.0
Jose Angel,4.5,974.0,11.0,0.0,5.0,3.0,48.0
David Junca,2.0,545.0,6.0,0.0,2.0,2.0,25.0
David Lomban,2.0,345.0,4.0,0.0,0.0,0.0,5.0
Ivan Ramis,2.0,342.0,4.0,0.0,0.0,2.0,14.0
Julen Lopez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Garcia,10.5,1317.0,15.0,0.0,0.0,5.0,35.0
Takashi Inui,8.0,1300.0,16.0,2.0,1.0,4.0,54.0
Joan Jordan,5.0,1132.0,12.0,3.0,0.0,4.0,50.0
Gonzalo Escalante,4.0,724.0,8.0,1.0,0.0,2.0,27.0
Ivan Alejo,3.5,557.0,7.0,1.0,3.0,2.0,35.0
Ruben Pena,2.5,376.0,3.0,0.0,0.0,1.0,16.0
Pape Diop,2.0,263.0,3.0,0.0,0.0,0.0,7.0
Imanol Sarriegui,2.0,37.0,0.0,0.0,0.0,0.0,2.0
Fabian Orellana,2.0,19.0,0.0,1.0,0.0,0.0,6.0
Fran Rico,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Leon,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Julen Azkue,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Enrich,13.1,1155.0,12.0,3.0,1.0,0.0,45.0
Kike Garcia,5.5,998.0,12.0,1.0,0.0,0.0,32.0
Charles,5.5,720.0,8.0,5.0,1.0,0.0,49.0
Bebe,2.0,343.0,3.0,0.0,0.0,0.0,13.0
