DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Pau Lopez,7.0,1620.0,18.0,0.0,0.0,6.0,61.0
Diego Lopez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Lopez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Martin,8.0,1620.0,18.0,0.0,0.0,6.0,54.0
Mario Hermoso,5.0,1350.0,15.0,0.0,0.0,6.0,46.0
Naldo,2.0,315.0,3.0,0.0,0.0,0.0,6.0
Javi Lopez,2.5,285.0,4.0,0.0,0.0,2.0,15.0
Oscar Duarte,2.0,180.0,2.0,0.0,0.0,1.0,8.0
Marc Navarro,2.0,170.0,1.0,0.0,0.0,2.0,12.0
Sergio Sanchez,2.0,101.0,1.0,0.0,0.0,0.0,2.0
Didac Vila,2.0,55.0,0.0,0.0,0.0,0.0,3.0
David Lopez,14.3,1620.0,18.0,0.0,0.0,6.0,42.0
Sergi Darder,7.0,1407.0,16.0,1.0,0.0,6.0,46.0
Javi Fuego,6.0,1300.0,16.0,0.0,0.0,6.0,38.0
Victor Sanchez,4.5,1075.0,13.0,0.0,1.0,4.0,33.0
Pablo Piatti,12.5,1062.0,14.0,1.0,2.0,4.0,50.0
Jose Manuel Jurado,9.5,1039.0,13.0,0.0,2.0,4.0,41.0
Esteban Granero,2.5,328.0,1.0,0.0,1.0,0.0,12.0
Oscar Melendo,2.0,126.0,0.0,0.0,0.0,0.0,6.0
Marc Roca,2.0,100.0,1.0,0.0,0.0,0.0,5.0
Gerard Moreno,16.1,1620.0,18.0,6.0,0.0,0.0,67.0
Leo Baptistao,7.5,1333.0,16.0,3.0,3.0,0.0,58.0
Sergio Garcia,6.0,711.0,6.0,1.0,2.0,0.0,34.0
Hernan Perez,2.2,140.0,1.0,0.0,0.0,0.0,4.0
