Name,Position,Country,Age,Club,Current_Value,Previous_Value,Club_Appearances,Assists,Minutes_played_club,Mins_per_goal,Goals_per_game,Goals,Clean Sheets,URL,F_Rating,F_Pace,F_Shooting,F_Passing,F_Drib,F_Def,F_Phy,F_WRate
Jairo Samperio,Left Wing,Spain,24,UD Las Palmas,"2,00 Mill. ","3,00 Mill. ",17,1,941,471,0.11,2,,http://www.futhead.com/18/players/?name=Jairo Samperio&sort=vote_sum&bin_platform=ps,76,86,68,71,78,32,56,Medium / Medium
Lionel Messi,Right Wing,Argentina,30,FC Barcelona,"180,00 Mill. ","120,00 Mill. ",34,12,2832,77,1.09,37,,http://www.futhead.com/18/players/?name=Lionel Messi&sort=vote_sum&bin_platform=ps,93,89,90,86,95,26,61,Medium / Medium
Antoine Griezmann,Centre-Forward,France,26,Atlético Madrid,"100,00 Mill. ","80,00 Mill. ",36,8,3067,192,0.44,16,,http://www.futhead.com/18/players/?name=Antoine Griezmann&sort=vote_sum&bin_platform=ps,88,86,85,78,87,30,68,High / Medium
Sergio Busquets,Defensive Midfield,Spain,29,FC Barcelona,"80,00 Mill. ","60,00 Mill. ",33,3,2693,,0,0,,http://www.futhead.com/18/players/?name=Sergio Busquets&sort=vote_sum&bin_platform=ps,86,40,59,79,74,82,81,Medium / Medium
Ousmane Dembélé,Left Wing,France,20,FC Barcelona,"80,00 Mill. ","33,00 Mill. ",32,13,2040,340,0.18,6,,http://www.futhead.com/18/players/?name=Ousmane Dembélé&sort=vote_sum&bin_platform=ps,83,91,76,75,88,32,56,High / Low
Isco,Attacking Midfield,Spain,25,Real Madrid,"75,00 Mill. ","40,00 Mill. ",30,9,1637,164,0.33,10,,http://www.futhead.com/18/players/?name=Isco&sort=vote_sum&bin_platform=ps,86,71,83,82,89,54,62,High / Medium
Koke,Central Midfield,Spain,25,Atlético Madrid,"70,00 Mill. ","60,00 Mill. ",36,8,3172,793,0.11,4,,http://www.futhead.com/18/players/?name=Koke&sort=vote_sum&bin_platform=ps,84,70,75,86,81,63,75,High / High
Jan Oblak,Keeper,Slovenia,24,Atlético Madrid,"50,00 Mill. ","40,00 Mill. ",30,0,2651,,0,0,15,http://www.futhead.com/18/players/?name=Jan Oblak&sort=vote_sum&bin_platform=ps,88,84,90,77,84,43,87,No
Ivan Rakitic,Central Midfield,Croatia,29,FC Barcelona,"45,00 Mill. ","45,00 Mill. ",32,6,2344,335,0.22,7,,http://www.futhead.com/18/players/?name=Ivan Rakitic&sort=vote_sum&bin_platform=ps,87,65,84,86,82,60,66,Medium / Medium
Yannick Carrasco,Left Wing,Belgium,24,Atlético Madrid,"40,00 Mill. ","40,00 Mill. ",35,4,2269,227,0.29,10,,http://www.futhead.com/18/players/?name=Yannick Carrasco&sort=vote_sum&bin_platform=ps,85,88,79,78,87,29,63,High / Medium
Jordi Alba,Left-Back,Spain,28,FC Barcelona,"40,00 Mill. ","32,00 Mill. ",26,6,1966,1.966,0.04,1,,http://www.futhead.com/18/players/?name=Jordi Alba&sort=vote_sum&bin_platform=ps,85,93,69,75,82,81,72,High / Medium
Coke,Right-Back,Spain,30,Levante UD,"2,00 Mill. ","3,00 Mill. ",8,0,629,629,00-Jan,1,,http://www.futhead.com/18/players/?name=Coke&sort=vote_sum&bin_platform=ps,80,75,63,70,74,79,72,High / Medium
Cristiano Ronaldo,Centre-Forward,Portugal,32,Real Madrid,"120,00 Mill. ","100,00 Mill. ",29,6,2544,102,0.86,25,,http://www.futhead.com/18/players/?name=Cristiano Ronaldo&sort=vote_sum&bin_platform=ps,95,91,95,84,92,34,82,High / Low
Luis Suárez,Centre-Forward,Uruguay,30,FC Barcelona,"85,00 Mill. ","90,00 Mill. ",35,15,2862,99,0.83,29,,http://www.futhead.com/18/players/?name=Luis Suárez&sort=vote_sum&bin_platform=ps,92,82,90,79,86,42,81,High / Medium
Toni Kroos,Central Midfield,Germany,27,Real Madrid,"80,00 Mill. ","70,00 Mill. ",29,12,2500,833,0.1,3,,http://www.futhead.com/18/players/?name=Toni Kroos&sort=vote_sum&bin_platform=ps,90,50,81,88,81,73,70,Medium / Medium
Gareth Bale,Right Wing,Wales,28,Real Madrid,"75,00 Mill. ","80,00 Mill. ",19,3,1428,204,0.37,7,,http://www.futhead.com/18/players/?name=Gareth Bale&sort=vote_sum&bin_platform=ps,89,94,87,84,86,57,76,High / Medium
Saúl Ñíguez,Central Midfield,Spain,23,Atlético Madrid,"70,00 Mill. ","40,00 Mill. ",33,3,2543,636,0.12,4,,http://www.futhead.com/18/players/?name=Saúl Ñíguez&sort=vote_sum&bin_platform=ps,82,73,69,78,81,77,75,Medium / High
Karim Benzema,Centre-Forward,France,30,Real Madrid,"50,00 Mill. ","60,00 Mill. ",29,5,1913,174,0.38,11,,http://www.futhead.com/18/players/?name=Karim Benzema&sort=vote_sum&bin_platform=ps,87,80,85,80,83,22,77,Medium / Low
Marco Asensio,Left Wing,Spain,21,Real Madrid,"50,00 Mill. ","30,00 Mill. ",23,2,1077,359,0.13,3,,http://www.futhead.com/18/players/?name=Marco Asensio&sort=vote_sum&bin_platform=ps,84,78,79,83,83,39,61,Medium / Medium
Daniel Carvajal,Right-Back,Spain,25,Real Madrid,"45,00 Mill. ","32,00 Mill. ",23,5,2014,,0,0,,http://www.futhead.com/18/players/?name=Daniel Carvajal&sort=vote_sum&bin_platform=ps,84,82,45,73,79,82,78,High / Medium
Samuel Umtiti,Centre-Back,France,24,FC Barcelona,"40,00 Mill. ","30,00 Mill. ",25,0,2132,2.132,0.04,1,,http://www.futhead.com/18/players/?name=Samuel Umtiti&sort=vote_sum&bin_platform=ps,83,74,64,71,71,82,79,Medium / High
Paulinho,Central Midfield,Brazil,29,FC Barcelona,"40,00 Mill. ","20,00 Mill. ",20,4,1800,257,0.35,7,,http://www.futhead.com/18/players/?name=Paulinho&sort=vote_sum&bin_platform=ps,81,76,74,74,77,77,76,High / High
Luka Modric,Central Midfield,Croatia,32,Real Madrid,"40,00 Mill. ","40,00 Mill. ",25,2,1892,1.892,0.04,1,,http://www.futhead.com/18/players/?name=Luka Modric&sort=vote_sum&bin_platform=ps,89,73,75,86,89,72,65,High / Medium
Casemiro,Defensive Midfield,Brazil,25,Real Madrid,"40,00 Mill. ","30,00 Mill. ",25,0,1707,427,0.16,4,,http://www.futhead.com/18/players/?name=Casemiro&sort=vote_sum&bin_platform=ps,85,62,68,74,72,84,86,Medium / High
Gerard Piqué,Centre-Back,Spain,30,FC Barcelona,"40,00 Mill. ","40,00 Mill. ",25,0,2192,1.096,0.08,2,,http://www.futhead.com/18/players/?name=Gerard Piqué&sort=vote_sum&bin_platform=ps,87,65,61,69,66,86,76,High / Medium
Sergio Ramos,Centre-Back,Spain,31,Real Madrid,"40,00 Mill. ","40,00 Mill. ",28,0,2489,356,0.25,7,,http://www.futhead.com/18/players/?name=Sergio Ramos&sort=vote_sum&bin_platform=ps,90,76,63,71,72,88,83,High / Medium
Diego Godín,Centre-Back,Uruguay,31,Atlético Madrid,"35,00 Mill. ","38,00 Mill. ",31,1,2706,902,0.1,3,,http://www.futhead.com/18/players/?name=Diego Godín&sort=vote_sum&bin_platform=ps,88,65,48,65,64,88,78,Medium / High
Stefan Savic,Centre-Back,Montenegro,26,Atlético Madrid,"30,00 Mill. ","30,00 Mill. ",32,1,2727,2.727,0.03,1,,http://www.futhead.com/18/players/?name=Stefan Savic&sort=vote_sum&bin_platform=ps,82,63,35,52,57,83,74,Medium / High
Steven N'Zonzi,Defensive Midfield,France,29,Sevilla FC,"30,00 Mill. ","30,00 Mill. ",35,3,3066,1.533,0.06,2,,http://www.futhead.com/18/players/?name=Steven N'Zonzi&sort=vote_sum&bin_platform=ps,83,57,67,73,71,80,88,Medium / Medium
Vitolo,Left Wing,Spain,28,Atlético Madrid,"25,00 Mill. ","30,00 Mill. ",30,7,2333,389,0.2,6,,http://www.futhead.com/18/players/?name=Vitolo&sort=vote_sum&bin_platform=ps,83,80,77,79,82,28,76,High / High
Geoffrey Kondogbia,Central Midfield,France,24,Valencia CF,"25,00 Mill. ","18,00 Mill. ",24,2,1714,1714,0.04,1,,http://www.futhead.com/18/players/?name=Geoffrey Kondogbia&sort=vote_sum&bin_platform=ps,76,69,60,71,75,73,81,High / Medium
Simone Zaza,Centre-Forward,Italy,26,Valencia CF,"25,00 Mill. ","16,00 Mill. ",20,1,1376,229,0.3,6,,http://www.futhead.com/18/players/?name=Simone Zaza&sort=vote_sum&bin_platform=ps,83,79,86,65,80,48,86,High / High
Carlos Soler,Central Midfield,Spain,20,Valencia CF,"25,00 Mill. ","7,50 Mill. ",23,1,1724,575,0.13,3,,http://www.futhead.com/18/players/?name=Carlos Soler&sort=vote_sum&bin_platform=ps,76,76,72,77,72,65,59,Medium / Medium
