DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Vicente Guaita,7.0,1440.0,16.0,0.0,0.0,5.0,58.0
Emiliano Martinez,2.0,90.0,1.0,0.0,0.0,0.0,2.0
Filip Manojlovic,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Djene Dakonam,7.0,1529.0,17.0,0.0,0.0,5.0,48.0
Damian Suarez,6.5,1440.0,16.0,0.0,2.0,5.0,51.0
Juan Cala,6.5,1440.0,16.0,1.0,1.0,4.0,51.0
Vitorino Antunes,6.0,1350.0,15.0,0.0,2.0,3.0,44.0
Francisco Molinero,2.0,311.0,3.0,0.0,0.0,2.0,13.0
Bruno Gonzalez,2.0,98.0,1.0,0.0,0.0,1.0,9.0
Mathias Olivera,2.0,12.0,0.0,0.0,0.0,0.0,2.0
Nicolas Gorosito,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Markel Bergara,6.5,1289.0,15.0,4.0,1.0,4.0,58.0
Mauro Arambarri,5.5,1225.0,15.0,1.0,0.0,3.0,37.0
Faycal Fajr,4.5,918.0,10.0,1.0,2.0,3.0,40.0
Francisco Portillo,5.0,834.0,9.0,1.0,2.0,3.0,38.0
Sergio Mora,3.0,341.0,2.0,0.0,0.0,1.0,17.0
Gaku Shibasaki,2.0,331.0,4.0,1.0,0.0,1.0,17.0
Mehdi Lacen,2.0,59.0,0.0,0.0,0.0,0.0,3.0
Jefferson Montero,2.0,31.0,0.0,0.0,0.0,0.0,3.0
Barri,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Calderon,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Calderon,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Calderon,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Quezada,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Molina,7.5,1471.0,17.0,2.0,2.0,0.0,57.0
Amath Ndiaye,6.5,1348.0,17.0,2.0,0.0,0.0,46.0
Angel Rodriguez,5.0,802.0,9.0,6.0,0.0,0.0,49.0
Alvaro Jimenez,2.0,510.0,5.0,1.0,1.0,0.0,20.0
Daniel Pacheco,2.0,24.0,0.0,0.0,0.0,0.0,2.0
Hugo Duro,2.0,0.0,0.0,0.0,0.0,0.0,0.0
