DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Bono,2.0,810.0,9.0,0.0,0.0,1.0,22.0
Gorka Iraizoz,2.0,720.0,8.0,0.0,0.0,2.0,17.0
Pablo Maffeo,5.5,1348.0,16.0,0.0,1.0,3.0,42.0
Juanpe,6.0,1264.0,14.0,2.0,1.0,2.0,47.0
Bernardo Espinosa,5.0,1243.0,14.0,0.0,2.0,1.0,33.0
Marc Muniesa,2.0,870.0,10.0,0.0,1.0,2.0,29.0
Johan Mojica,3.5,800.0,8.0,0.0,2.0,2.0,29.0
Jonas Ramalho,2.0,677.0,7.0,0.0,0.0,1.0,14.0
Pedro Alcala,2.0,450.0,5.0,1.0,0.0,2.0,20.0
Carles Planas,2.0,19.0,0.0,0.0,0.0,0.0,1.0
Maximiliano Villa,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Portu,8.5,1346.0,16.0,6.0,1.0,2.0,72.0
Borja Garcia,6.5,1267.0,15.0,1.0,2.0,3.0,51.0
Pere Pons,4.5,1219.0,14.0,0.0,1.0,3.0,34.0
Alex Granell,4.0,1161.0,14.0,0.0,2.0,4.0,36.0
Aday Benitez,4.0,869.0,10.0,0.0,0.0,1.0,26.0
David Timor,2.5,451.0,5.0,2.0,0.0,1.0,22.0
Aleix Garcia,2.0,380.0,4.0,0.0,0.0,0.0,12.0
Douglas Luiz,2.0,259.0,1.0,0.0,0.0,0.0,9.0
Eloi Amagat,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Farid Boulaya,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Porro,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristhian Stuani,6.5,1287.0,15.0,8.0,0.0,0.0,60.0
Olarenwaju Kayode,2.0,360.0,2.0,0.0,1.0,0.0,15.0
Michael Olunga,2.0,92.0,1.0,0.0,0.0,0.0,5.0
Marlos Moreno,2.0,28.0,0.0,0.0,0.0,0.0,2.0
