,Name,Club_Appearances,Assists,Minutes_played_club,Mins_per_goal,Goals_per_game,Goals
0,Lionel Messi,34,12,2832,77.0,1.09,37
1,Cristiano Ronaldo,29,6,2544,102.0,0.86,25
2,Antoine Griezmann,36,8,3067,192.0,0.44,16
3,Álvaro Morata,26,5,1331,89.0,0.58,15
4,Neymar,30,15,2653,204.0,0.43,13
5,Rubén Castro,35,3,2782,214.0,0.37,13
6,Willian José,28,4,2080,173.0,0.43,12
7,Sergi Enrich,38,7,2829,257.0,0.29,11
8,Wissam Ben Yedder,31,5,1668,152.0,0.35,11
9,Pablo Piatti,30,11,2355,236.0,0.33,10
10,Roberto Soriano,33,7,2467,247.0,0.3,10
11,Kevin-Prince Boateng,28,5,1992,199.0,0.36,10
12,Raúl García,36,4,2884,288.0,0.28,10
13,Luis Suárez,35,15,2862,99.0,0.83,29
14,Iago Aspas,32,4,2318,122.0,0.59,19
15,Aritz Aduriz,32,1,2429,152.0,0.5,16
16,Sandro Ramírez,30,5,2312,165.0,0.47,14
17,Gerard Moreno,37,4,3280,252.0,0.35,13
18,Kévin Gameiro,31,5,1717,143.0,0.39,12
19,Florin Andone,37,3,2901,242.0,0.32,12
20,Karim Benzema,29,5,1913,174.0,0.38,11
21,Juanmi,35,1,1831,166.0,0.31,11
22,Isco,30,9,1637,164.0,0.33,10
23,Pedro León,37,6,3011,301.0,0.27,10
24,Yannick Carrasco,35,4,2269,227.0,0.29,10
25,Cédric Bakambu,26,2,1567,157.0,0.38,10
26,Carlos Vela,35,5,2568,285.0,0.26,9
27,Pablo Sarabia,34,9,2131,266.0,0.24,8
28,Fernando Torres,31,6,1416,177.0,0.26,8
29,Nicola Sansone,32,4,2131,266.0,0.25,8
30,Alexander Szymanowski,28,2,2039,255.0,0.29,8
31,Ivan Rakitic,32,6,2344,335.0,0.22,7
32,Gareth Bale,19,3,1428,204.0,0.37,7
33,Iker Muniain,35,3,2413,345.0,0.2,7
34,Vicente Iborra,31,2,1465,209.0,0.23,7
35,Kenan Kodro,28,1,1465,209.0,0.25,7
36,Sergio Ramos,28,0,2489,356.0,0.25,7
37,Leo Baptistão,21,6,1427,238.0,0.29,6
