DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Ivan Cuellar,7.5,1530.0,17.0,0.0,0.0,10.0,77.0
Jon Serantes,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Nereo Champagne,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseba Zaldua,6.0,1215.0,14.0,0.0,0.0,10.0,58.0
Diego Rico,3.5,990.0,11.0,1.0,0.0,6.0,45.0
Dimitrios Siovas,3.0,857.0,10.0,0.0,1.0,5.0,35.0
Mauro Dos Santos,2.0,776.0,7.0,0.0,0.0,7.0,39.0
Raul Garcia,3.0,739.0,8.0,0.0,0.0,4.0,33.0
Ezequiel Munoz,2.5,688.0,9.0,0.0,0.0,5.0,33.0
Martin Mantovani,2.0,450.0,5.0,1.0,0.0,3.0,27.0
Unai Bustinza,2.0,290.0,3.0,0.0,0.0,0.0,9.0
Tito,2.0,247.0,2.0,0.0,0.0,0.0,8.0
Daniel Gallardo,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Pires,11.5,1292.0,15.0,4.0,1.0,8.0,66.0
Javier Eraso,6.5,1221.0,15.0,1.0,2.0,10.0,56.0
Ruben Perez,4.5,1184.0,14.0,0.0,0.0,10.0,39.0
Alexander Szymanowski,6.5,1064.0,13.0,1.0,2.0,6.0,50.0
Nabil El Zhar,5.0,809.0,7.0,1.0,0.0,6.0,35.0
Darko Brasanac,2.0,436.0,6.0,0.0,0.0,3.0,17.0
Gerard Gumbau,2.0,367.0,3.0,0.0,0.0,3.0,12.0
Omar Ramos,2.5,330.0,4.0,0.0,0.0,3.0,16.0
Claudio Beauvue,5.0,943.0,10.0,2.0,0.0,0.0,33.0
Nordin Amrabat,3.0,577.0,6.0,0.0,3.0,0.0,26.0
Miguel Angel Guerrero,2.5,476.0,5.0,1.0,0.0,0.0,14.0
Naranjo,2.0,124.0,1.0,0.0,0.0,0.0,5.0
Mamadou Kone,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Rocha,2.0,0.0,0.0,0.0,0.0,0.0,0.0
