DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Raul Fernandez,2.5,990.0,11.0,0.0,0.0,3.0,34.0
Oier Olazabal,2.0,540.0,6.0,0.0,0.0,3.0,20.0
Mitchell Langerak,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Chema Rodriguez,6.5,1432.0,16.0,1.0,0.0,7.0,56.0
Sergio Postigo,5.0,1392.0,16.0,0.0,0.0,6.0,44.0
Tono,3.5,1080.0,12.0,0.0,1.0,4.0,38.0
Pedro Lopez,2.5,785.0,9.0,0.0,0.0,3.0,27.0
Rober Pier,2.0,658.0,6.0,0.0,0.0,2.0,17.0
Antonio Luna,2.0,526.0,5.0,0.0,1.0,2.0,19.0
Shaquell Moore,2.5,423.0,5.0,0.0,0.0,2.0,16.0
Erick Cabaco,2.0,183.0,2.0,0.0,0.0,1.0,6.0
Ivan Lopez,2.0,175.0,3.0,0.0,1.0,1.0,13.0
Coke,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Jose Campana,5.0,1342.0,16.0,0.0,0.0,6.0,35.0
Jose Luis Morales,5.0,1237.0,14.0,2.0,2.0,6.0,52.0
Enis Bardhi,6.0,1082.0,12.0,4.0,0.0,4.0,50.0
Jefferson Lerma,2.0,827.0,10.0,0.0,0.0,3.0,17.0
Cheick Doukoure,2.0,392.0,4.0,1.0,0.0,1.0,22.0
Samu Garcia,2.0,183.0,2.0,0.0,0.0,1.0,12.0
Sasa Lukic,2.0,147.0,2.0,0.0,0.0,1.0,5.0
Moctar Sidi El Hacen,2.5,82.0,1.0,0.0,0.0,1.0,4.0
Youssouf Yalike,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Jason,3.0,927.0,12.0,1.0,0.0,0.0,30.0
Ivi,5.0,802.0,7.0,1.0,2.0,0.0,35.0
Alex Alegria,2.0,632.0,8.0,0.0,0.0,0.0,18.0
Emmanuel Boateng,2.0,305.0,1.0,0.0,0.0,0.0,7.0
Nano Mesa,2.5,263.0,2.0,0.0,0.0,0.0,8.0
Roger Marti,2.0,0.0,0.0,0.0,0.0,0.0,0.0
