DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Roberto Jimenez,3.5,1440.0,16.0,0.0,0.0,2.0,35.0
Andres Prieto,2.0,90.0,1.0,0.0,0.0,0.0,2.0
Cenk Gonen,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Hernandez,8.0,1440.0,16.0,0.0,0.0,2.0,32.0
Roberto Rosales,8.0,1415.0,16.0,1.0,0.0,2.0,39.0
Juan Carlos Perez,2.0,784.0,9.0,0.0,0.0,0.0,20.0
Diego Gonzalez,2.5,726.0,9.0,1.0,0.0,2.0,26.0
Federico Ricca,2.0,398.0,5.0,0.0,0.0,0.0,6.0
Ignasi Miquel,3.5,180.0,2.0,0.0,0.0,0.0,3.0
Cifu,2.0,107.0,1.0,0.0,0.0,0.0,2.0
Miguel Torres,2.0,90.0,1.0,0.0,0.0,0.0,2.0
Alejandro Robles,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Pino,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Recio,4.0,1343.0,15.0,0.0,1.0,2.0,30.0
Adrian Gonzalez,4.0,1192.0,14.0,1.0,0.0,2.0,31.0
Gonzalo Castro,4.0,822.0,10.0,3.0,1.0,2.0,40.0
Keko,2.5,684.0,9.0,0.0,2.0,2.0,30.0
Zdravko Kuzmanovic,2.0,580.0,7.0,0.0,1.0,0.0,14.0
Juanpi,4.0,580.0,5.0,0.0,2.0,0.0,25.0
Alejandro Mula,2.0,543.0,7.0,0.0,0.0,0.0,15.0
Esteban Rolon,2.0,422.0,6.0,0.0,0.0,0.0,14.0
Javier Ontiveros,2.0,345.0,1.0,0.0,0.0,0.0,9.0
Jony,2.0,214.0,1.0,0.0,0.0,0.0,5.0
Jose Carlos Sanchez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Iturra,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Diego Rolan,3.0,770.0,9.0,3.0,0.0,0.0,32.0
Adalberto Penaranda,2.5,721.0,10.0,0.0,0.0,0.0,21.0
Borja Baston,3.0,703.0,6.0,1.0,0.0,0.0,22.0
Youssef En-Nesyri,2.5,217.0,1.0,0.0,0.0,0.0,9.0
