,Name,Position,Country,Age,Club,Current_Value,Previous_Value
0,Martin Aguirregabiria,Right-Back,Spain,21,Deportivo Alavés,800 Th. ,-
1,Jairo Samperio,Left Wing,Spain,24,UD Las Palmas,"2,00 Mill. ","3,00 Mill. €"
2,Lionel Messi,Right Wing,Argentina,30,FC Barcelona,"180,00 Mill. ","120,00 Mill. €"
3,Antoine Griezmann,Centre-Forward,France,26,Atlético Madrid,"100,00 Mill. ","80,00 Mill. €"
4,Sergio Busquets,Defensive Midfield,Spain,29,FC Barcelona,"80,00 Mill. ","60,00 Mill. €"
5,Ousmane Dembélé,Left Wing,France,20,FC Barcelona,"80,00 Mill. ","33,00 Mill. €"
6,Isco,Attacking Midfield,Spain,25,Real Madrid,"75,00 Mill. ","40,00 Mill. €"
7,Koke,Central Midfield,Spain,25,Atlético Madrid,"70,00 Mill. ","60,00 Mill. €"
8,Jan Oblak,Keeper,Slovenia,24,Atlético Madrid,"50,00 Mill. ","40,00 Mill. €"
9,Ivan Rakitic,Central Midfield,Croatia,29,FC Barcelona,"45,00 Mill. ","45,00 Mill. €"
10,Yannick Carrasco,Left Wing,Belgium,24,Atlético Madrid,"40,00 Mill. ","40,00 Mill. €"
11,Gonçalo Guedes,Left Wing,Portugal,21,Valencia CF,"40,00 Mill. ","17,00 Mill. €"
12,Jordi Alba,Left-Back,Spain,28,FC Barcelona,"40,00 Mill. ","32,00 Mill. €"
13,Nacho Gil,Left Wing,Spain,22,Valencia CF,300 Th. ,300 Th. €
14,Coke,Right-Back,Spain,30,Levante UD,"2,00 Mill. ","3,00 Mill. €"
15,Cristiano Ronaldo,Centre-Forward,Portugal,32,Real Madrid,"120,00 Mill. ","100,00 Mill. €"
16,Luis Suárez,Centre-Forward,Uruguay,30,FC Barcelona,"85,00 Mill. ","90,00 Mill. €"
17,Toni Kroos,Central Midfield,Germany,27,Real Madrid,"80,00 Mill. ","70,00 Mill. €"
18,Gareth Bale,Right Wing,Wales,28,Real Madrid,"75,00 Mill. ","80,00 Mill. €"
19,Saúl Ñíguez,Central Midfield,Spain,23,Atlético Madrid,"70,00 Mill. ","40,00 Mill. €"
20,Karim Benzema,Centre-Forward,France,30,Real Madrid,"50,00 Mill. ","60,00 Mill. €"
21,Marco Asensio,Left Wing,Spain,21,Real Madrid,"50,00 Mill. ","30,00 Mill. €"
22,Daniel Carvajal,Right-Back,Spain,25,Real Madrid,"45,00 Mill. ","32,00 Mill. €"
23,Samuel Umtiti,Centre-Back,France,24,FC Barcelona,"40,00 Mill. ","30,00 Mill. €"
24,Paulinho,Central Midfield,Brazil,29,FC Barcelona,"40,00 Mill. ","20,00 Mill. €"
25,Luka Modric,Central Midfield,Croatia,32,Real Madrid,"40,00 Mill. ","40,00 Mill. €"
26,Casemiro,Defensive Midfield,Brazil,25,Real Madrid,"40,00 Mill. ","30,00 Mill. €"
27,Gerard Piqué,Centre-Back,Spain,30,FC Barcelona,"40,00 Mill. ","40,00 Mill. €"
28,Sergio Ramos,Centre-Back,Spain,31,Real Madrid,"40,00 Mill. ","40,00 Mill. €"
29,Diego Godín,Centre-Back,Uruguay,31,Atlético Madrid,"35,00 Mill. ","38,00 Mill. €"
30,Stefan Savic,Centre-Back,Montenegro,26,Atlético Madrid,"30,00 Mill. ","30,00 Mill. €"
31,Steven N'Zonzi,Defensive Midfield,France,29,Sevilla FC,"30,00 Mill. ","30,00 Mill. €"
32,Vitolo,Left Wing,Spain,28,Atlético Madrid,"25,00 Mill. ","30,00 Mill. €"
33,Geoffrey Kondogbia,Central Midfield,France,24,Valencia CF,"25,00 Mill. ","18,00 Mill. €"
34,Simone Zaza,Centre-Forward,Italy,26,Valencia CF,"25,00 Mill. ","16,00 Mill. €"
35,Carlos Soler,Central Midfield,Spain,20,Valencia CF,"25,00 Mill. ","7,50 Mill. €"
36,Iñigo Martínez,Centre-Back,Spain,26,Real Sociedad,"25,00 Mill. ","20,00 Mill. €"
37,Cédric Bakambu,Centre-Forward,DR Congo,26,Villarreal CF,"25,00 Mill. ","16,00 Mill. €"
38,Sergi Roberto,Central Midfield,Spain,25,FC Barcelona,"40,00 Mill. ","25,00 Mill. €"
39,Marcelo,Left-Back,Brazil,29,Real Madrid,"40,00 Mill. ","38,00 Mill. €"
40,Raphaël Varane,Centre-Back,France,24,Real Madrid,"40,00 Mill. ","35,00 Mill. €"
41,Marc-André ter Stegen,Keeper,Germany,25,FC Barcelona,"40,00 Mill. ","25,00 Mill. €"
42,José Giménez,Centre-Back,Uruguay,22,Atlético Madrid,"35,00 Mill. ","28,00 Mill. €"
43,Nélson Semedo,Right-Back,Portugal,24,FC Barcelona,"30,00 Mill. ","20,00 Mill. €"
44,Mikel Oyarzabal,Left Wing,Spain,20,Real Sociedad,"30,00 Mill. ","15,00 Mill. €"
45,Aymeric Laporte,Centre-Back,France,23,Athletic Bilbao,"25,00 Mill. ","25,00 Mill. €"
46,Mateo Kovacic,Central Midfield,Croatia,23,Real Madrid,"25,00 Mill. ","25,00 Mill. €"
47,Rodrigo,Centre-Forward,Spain,26,Valencia CF,"25,00 Mill. ","7,50 Mill. €"
48,Wissam Ben Yedder,Centre-Forward,France,27,Sevilla FC,"25,00 Mill. ","15,00 Mill. €"
49,José Gayá,Left-Back,Spain,22,Valencia CF,"25,00 Mill. ","18,00 Mill. €"
50,Iñaki Williams,Right Wing,Spain,23,Athletic Bilbao,"25,00 Mill. ","25,00 Mill. €"
51,Sime Vrsaljko,Right-Back,Croatia,25,Atlético Madrid,"20,00 Mill. ","16,00 Mill. €"
52,Rodrigo Hernández,Defensive Midfield,Spain,21,Villarreal CF,"20,00 Mill. ","2,50 Mill. €"
53,Ángel Correa,Secondary Striker,Argentina,22,Atlético Madrid,"20,00 Mill. ","18,00 Mill. €"
