DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Keylor Navas,3.0,900.0,10.0,0.0,0.0,4.0,38.0
Kiko Casilla,2.0,630.0,7.0,0.0,0.0,3.0,30.0
Moha Ramos,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Zidane,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo,11.5,1129.0,13.0,1.0,1.0,5.0,50.0
Sergio Ramos,7.4,1125.0,13.0,0.0,1.0,6.0,45.0
Nacho,7.0,1015.0,10.0,1.0,0.0,6.0,50.0
Raphael Varane,3.5,945.0,11.0,0.0,0.0,4.0,38.0
Daniel Carvajal,2.0,900.0,10.0,0.0,0.0,3.0,24.0
Achraf Hakimi,2.5,426.0,5.0,1.0,0.0,2.0,25.0
Theo Hernandez,2.0,296.0,3.0,0.0,0.0,1.0,12.0
Jesus Vallejo,2.0,270.0,3.0,0.0,0.0,2.0,15.0
Alvaro Tejero,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Manu,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Casemiro,5.5,1202.0,14.0,3.0,0.0,6.0,50.0
Toni Kroos,11.1,1185.0,14.0,2.0,2.0,6.0,54.0
Isco,14.0,1068.0,13.0,4.0,4.0,6.0,73.0
Luka Modric,4.3,1049.0,12.0,0.0,0.0,6.0,34.0
Marco Asensio,6.5,889.0,9.0,4.0,3.0,4.0,63.0
Lucas Vazquez,5.8,566.0,5.0,1.0,1.0,1.0,32.0
Marcos Llorente,2.0,237.0,2.0,0.0,0.0,0.0,9.0
Dani Ceballos,2.0,186.0,2.0,2.0,0.0,1.0,21.0
Mateo Kovacic,2.0,156.0,1.0,0.0,0.0,0.0,6.0
Franchu,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime Seoane,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Rodriguez,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Ronaldo,23.0,1156.0,13.0,3.0,2.0,0.0,50.0
Karim Benzema,11.5,883.0,11.0,2.0,3.0,0.0,45.0
Gareth Bale,3.5,498.0,5.0,4.0,1.0,0.0,33.0
Borja Mayoral,2.0,119.0,1.0,1.0,0.0,0.0,14.0
Cristo Gonzalez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
