DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Mariano Barbosa,3.0,1125.0,12.0,0.0,0.0,5.0,43.0
Sergio Asenjo,3.0,360.0,4.0,0.0,0.0,2.0,18.0
Andres Fernandez,2.0,135.0,2.0,0.0,0.0,0.0,2.0
Ander Cantero,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro Gonzalez,6.5,1406.0,16.0,0.0,1.0,6.0,48.0
Jaume Costa,8.9,1404.0,16.0,0.0,0.0,7.0,53.0
Victor Ruiz,7.0,1350.0,15.0,0.0,1.0,7.0,53.0
Mario Gaspar,13.5,1275.0,14.0,1.0,1.0,6.0,58.0
Antonio Rukavina,2.0,497.0,5.0,0.0,0.0,2.0,17.0
Daniele Bonera,2.0,304.0,3.0,0.0,0.0,1.0,8.0
Ruben Semedo,2.0,231.0,3.0,0.0,0.0,0.0,5.0
Adrian Marin,2.0,88.0,1.0,0.0,0.0,0.0,0.0
Pau Torres,2.0,6.0,0.0,0.0,0.0,0.0,1.0
Genis Montolio,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Pepe Castano,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Rodri,7.0,1575.0,18.0,0.0,0.0,7.0,47.0
Pablo Fornals,11.0,1435.0,16.0,1.0,6.0,6.0,67.0
Manu Trigueros,13.5,1371.0,16.0,1.0,3.0,6.0,46.0
Roberto Soriano,9.0,562.0,6.0,0.0,0.0,2.0,21.0
Denis Cheryshev,2.0,213.0,1.0,0.0,1.0,1.0,15.0
Chuca,2.0,86.0,1.0,0.0,0.0,1.0,6.0
Ramiro Guerra,2.0,63.0,0.0,0.0,0.0,0.0,2.0
Leo Suarez,2.0,28.0,0.0,0.0,0.0,0.0,1.0
Mario Gonzalez,3.0,3.0,0.0,0.0,0.0,0.0,1.0
Manuel Morlanes,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Lozano,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Martinez,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Soriano,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Imanol Garcia,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Bakambu,9.5,1269.0,15.0,8.0,0.0,0.0,67.0
Carlos Bacca,7.0,1152.0,14.0,5.0,3.0,0.0,62.0
Samu Castillejo,7.5,923.0,11.0,1.0,3.0,0.0,44.0
Enes Unal,4.0,852.0,9.0,3.0,1.0,0.0,38.0
Nicola Sansone,5.2,300.0,3.0,3.0,1.0,0.0,29.0
Raba,3.5,290.0,3.0,1.0,0.0,0.0,9.0
Dario Poveda,2.0,1.0,0.0,0.0,0.0,0.0,1.0
Roger Martinez,4.5,0.0,0.0,0.0,0.0,0.0,0.0
