DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Sergio Rico,5.0,985.0,10.0,0.0,0.0,4.0,36.0
David Soria,2.0,545.0,7.0,0.0,0.0,2.0,23.0
Juan Soriano,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Clement Lenglet,8.0,1335.0,15.0,3.0,0.0,6.0,66.0
Sergio Escudero,4.0,990.0,11.0,0.0,1.0,5.0,41.0
Simon Kjaer,3.0,988.0,11.0,1.0,0.0,3.0,36.0
Gabriel Mercado,4.0,869.0,10.0,0.0,1.0,6.0,42.0
Sebastien Corchia,2.0,727.0,8.0,0.0,1.0,1.0,20.0
Lionel Carole,2.0,450.0,5.0,0.0,1.0,1.0,17.0
Daniel Carrico,2.0,270.0,3.0,0.0,0.0,2.0,13.0
Nico Pareja,2.0,135.0,2.0,0.0,0.0,2.0,12.0
Guilherme Arana,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Navas,5.0,1010.0,11.0,1.0,0.0,4.0,37.0
Guido Pizarro,3.5,993.0,11.0,1.0,0.0,3.0,32.0
Pablo Sarabia,11.0,936.0,10.0,1.0,3.0,3.0,47.0
Ever Banega,4.5,930.0,9.0,0.0,2.0,2.0,34.0
Steven N'Zonzi,9.0,820.0,10.0,0.0,0.0,3.0,28.0
Franco Vazquez,8.2,739.0,9.0,1.0,3.0,2.0,38.0
Michael Krohn-Dehli,4.5,532.0,5.0,1.0,1.0,3.0,33.0
Ganso,2.0,457.0,6.0,2.0,0.0,4.0,31.0
Joaquin Correa,2.0,427.0,5.0,0.0,0.0,2.0,17.0
Johannes Geis,2.0,399.0,4.0,0.0,1.0,1.0,18.0
Luis Muriel,4.0,842.0,9.0,3.0,0.0,0.0,37.0
Nolito,4.5,770.0,8.0,2.0,4.0,0.0,44.0
Wissam Ben Yedder,7.0,730.0,8.0,5.0,0.0,0.0,41.0
