DecodedName,FantasyLeagueVal,C_Mins,C_Apps,C_Goals,C_Assists,C_Clean_Sheets,FantasyLeaguePoints
Geronimo Rulli,9.5,1530.0,17.0,0.0,0.0,2.0,37.0
Tono Ramirez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro Odriozola,6.5,1463.0,16.0,0.0,4.0,2.0,50.0
Kevin Rodrigues,4.5,1092.0,12.0,1.0,2.0,2.0,41.0
Diego Llorente,3.5,1070.0,12.0,2.0,0.0,1.0,32.0
Inigo Martinez,7.5,876.0,10.0,1.0,1.0,0.0,32.0
Aritz Elustondo,2.0,724.0,8.0,2.0,1.0,2.0,38.0
Raul Navas,2.5,442.0,5.0,0.0,1.0,1.0,16.0
Alberto de la Bella,2.0,360.0,4.0,0.0,0.0,1.0,10.0
Andoni Gorosabel,2.0,67.0,1.0,0.0,0.0,0.0,1.0
Carlos Martinez,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Asier Illarramendi,9.5,1440.0,16.0,3.0,3.0,2.0,58.0
Xabi Prieto,15.8,1411.0,17.0,2.0,3.0,2.0,60.0
David Zurutuza,5.5,1086.0,13.0,0.0,0.0,1.0,31.0
Adnan Januzaj,3.5,669.0,8.0,2.0,3.0,0.0,38.0
Igor Zubeldia,2.0,624.0,6.0,1.0,0.0,1.0,19.0
Sergio Canales,4.5,504.0,5.0,0.0,0.0,0.0,23.0
Ruben Pardo,2.0,21.0,0.0,0.0,0.0,0.0,2.0
Ander Guevara,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Guridi,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Willian Jose,12.5,1428.0,17.0,5.0,1.0,0.0,67.0
Mikel Oyarzabal,13.2,1146.0,13.0,6.0,3.0,0.0,62.0
Juanmi,9.6,507.0,6.0,3.0,0.0,0.0,33.0
Jon Bautista,2.0,63.0,0.0,0.0,0.0,0.0,4.0
Imanol Agirretxe,2.0,29.0,0.0,0.0,0.0,0.0,3.0
